sigma,price
0.315100,988.238278
0.315400,988.182002
0.315600,988.164368
0.315900,988.111934
0.315700,988.151307
0.316200,988.057913
0.316000,988.093252
0.316400,988.027664
0.316300,988.040632
0.316800,987.968852
0.316700,987.984610
0.317100,987.920793
0.316900,987.953676
0.317300,987.898800
0.317200,987.908142
0.317600,987.869615
0.317500,987.887521
0.317800,987.863287
0.318000,987.832323
0.318300,987.794667
0.318100,987.825403
0.318400,987.779170
0.318500,987.754567
0.318900,987.686214
0.318700,987.720984
0.319100,987.676685
0.319200,987.664629
0.319400,987.636963
0.319500,987.630299
0.319700,987.605515
0.319800,987.585596
0.320000,987.566970
0.319900,987.577317
0.320400,987.508058
0.320300,987.527390
0.320600,987.482841
0.320500,987.499034
0.321000,987.419245
0.320800,987.441616
0.321200,987.378797
0.321100,987.397540
0.321400,987.339114
0.321600,987.291620
0.321700,987.266671
0.321800,987.255678
0.322000,987.210588
0.322100,987.205646
0.322300,987.173467
0.322400,987.157765
0.322600,987.127514
0.322800,987.105071
0.323100,987.054654
0.322900,987.088901
0.323300,987.033063
0.323400,987.016724
0.323500,986.994090
0.323700,986.970684
0.323800,986.947553
0.324000,986.923481
0.324100,986.913343
0.324300,986.883984
0.324500,986.848355
0.324400,986.863011
0.324700,986.810781
0.324800,986.792573
0.325100,986.733953
0.325200,986.719271
0.325400,986.669607
0.325500,986.656199
0.325800,986.629249
0.325700,986.638870
0.326100,986.583531
0.325900,986.614776
0.326200,986.571182
0.326400,986.524709
0.326700,986.492199
0.326600,986.504665
0.326800,986.483213
0.326900,986.462436
0.327200,986.412035
0.327100,986.430762
0.327400,986.386813
0.327500,986.371707
0.327800,986.328110
0.327900,986.315279
0.328200,986.272773
0.328100,986.291196
0.328300,986.251425
0.328500,986.240117
0.328700,986.219336
0.328800,986.200312
0.329000,986.202889
0.328900,986.198648
0.329200,986.171006
0.329300,986.150511
0.329600,986.099914
0.329700,986.084871
0.329900,986.048945
0.330000,986.027697
0.330100,986.006840
0.330300,985.972323
0.330500,985.946814
0.330600,985.943047
0.330900,985.888507
0.330700,985.922414
0.331000,985.895106
0.331100,985.882147
0.331400,985.849688
0.331300,985.867631
0.331800,985.800407
0.331600,985.818828
0.332100,985.765385
0.332000,985.776375
0.332300,985.727910
0.332400,985.719980
0.332700,985.687479
0.332600,985.694823
0.333000,985.650174
0.332800,985.674069
0.333300,985.602020
0.333100,985.641689
0.333600,985.555286
0.333400,985.581223
0.333700,985.550215
0.333900,985.548420
0.334200,985.528714
0.334000,985.545297
0.334300,985.513235
0.334500,985.471699
0.334800,985.424620
0.334700,985.438031
0.334900,985.402272
0.335000,985.384562
0.335300,985.356067
0.335200,985.370334
0.335600,985.316126
0.335500,985.318711
0.335900,985.282167
0.335800,985.296428
0.336200,985.235653
0.336300,985.219065
0.336600,985.161676
0.336400,985.200676
0.336700,985.151942
0.336800,985.128464
0.337100,985.092414
0.337200,985.086486
0.337300,985.067042
0.337500,985.037235
0.337800,985.007170
0.337600,985.026113
0.337900,984.988543
0.338100,984.949523
0.338400,984.904998
0.338200,984.935433
0.338700,984.867748
0.338500,984.892528
0.338800,984.860575
0.339000,984.823062
0.339100,984.796561
0.339300,984.757709
0.339400,984.730899
0.339500,984.719216
0.339800,984.673793
0.339700,984.675467
0.340200,984.607664
0.340100,984.620723
0.340300,984.582285
0.340500,984.546107
0.340800,984.492887
0.340700,984.507625
0.341100,984.442269
0.340900,984.474922
0.341400,984.385787
0.341200,984.424587
0.341700,984.333212
0.341500,984.365494
0.341800,984.322714
0.341900,984.299708
0.342100,984.269576
0.342300,984.233648
0.342400,984.210853
0.342600,984.185138
0.342900,984.143077
0.342700,984.170596
0.343200,984.107830
0.343000,984.124855
0.343300,984.085383
0.343500,984.050314
0.343800,983.992983
0.343700,984.013482
0.344100,983.962900
0.344000,983.980270
0.344300,983.920014
0.344400,983.904486
0.344600,983.877861
0.344500,983.889500
0.345000,983.820805
0.344900,983.832717
0.345300,983.762423
0.345200,983.777061
0.345600,983.712273
0.345500,983.728559
0.345900,983.652936
0.345800,983.663817
0.346200,983.592721
0.346100,983.609639
0.346300,983.575957
0.346500,983.552782
0.346600,983.543924
0.346700,983.548445
0.346900,983.521655
0.347100,983.502151
0.347200,983.488595
0.347400,983.483333
